tracker_id lat long
1 40.7128 -74.0060
1 40.7129 -74.0061
1 40.7130 -74.0062
1 40.7131 -74.0063
1 40.7132 -74.0064
2 40.7140 -74.0055
2 40.7139 -74.0056
2 40.7138 -74.0057
2 40.7137 -74.0058
2 40.7136 -74.0059
1 40.7133 -74.0065
1 40.7134 -74.0066
1 40.7135 -74.0067
1 40.7136 -74.0068
1 40.7137 -74.0069
2 40.7135 -74.0060
2 40.7134 -74.0061
2 40.7133 -74.0062
2 40.7132 -74.0063
2 40.7131 -74.0064
1 40.7138 -74.0060
1 40.7139 -74.0061
1 40.7140 -74.0062
1 40.7141 -74.0063
1 40.7142 -74.0064
2 40.7130 -74.0055
2 40.7129 -74.0056
2 40.7128 -74.0057
2 40.7127 -74.0058
2 40.7126 -74.0059
1 40.7143 -74.0065
1 40.7144 -74.0066
1 40.7145 -74.0067
1 40.7146 -74.0068
1 40.7147 -74.0069
2 40.7125 -74.0060
2 40.7124 -74.0061
2 40.7123 -74.0062
2 40.7122 -74.0063
2 40.7121 -74.0064
1 40.7148 -74.0070
1 40.7149 -74.0071
1 40.7150 -74.0072
1 40.7151 -74.0073
1 40.7152 -74.0074
2 40.7120 -74.0055
2 40.7119 -74.0056
2 40.7118 -74.0057
2 40.7117 -74.0058
2 40.7116 -74.0059
1 40.7153 -74.0070
1 40.7154 -74.0071
1 40.7155 -74.0072
1 40.7156 -74.0073
1 40.7157 -74.0074
2 40.7115 -74.0060
2 40.7114 -74.0061
2 40.7113 -74.0062
2 40.7112 -74.0063
2 40.7111 -74.0064
1 40.7158 -74.0070
1 40.7159 -74.0071
1 40.7160 -74.0072
1 40.7161 -74.0073
1 40.7162 -74.0074
2 40.7110 -74.0060
2 40.7109 -74.0061
2 40.7108 -74.0062
2 40.7107 -74.0063
2 40.7106 -74.0064
1 40.7163 -74.0070
1 40.7164 -74.0071
1 40.7165 -74.0072
1 40.7166 -74.0073
1 40.7167 -74.0074
2 40.7105 -74.0060
2 40.7104 -74.0061
2 40.7103 -74.0062
2 40.7102 -74.0063
2 40.7101 -74.0064
1 40.7168 -74.0070
1 40.7169 -74.0071
1 40.7170 -74.0072
1 40.7171 -74.0073
1 40.7172 -74.0074
2 40.7100 -74.0060
2 40.7099 -74.0061
2 40.7098 -74.0062
2 40.7097 -74.0063
2 40.7096 -74.0064
1 40.7173 -74.0070
1 40.7174 -74.0071
1 40.7175 -74.0072
1 40.7176 -74.0073
1 40.7177 -74.0074
2 40.7095 -74.0060
2 40.7094 -74.0061
2 40.7093 -74.0062
2 40.7092 -74.0063
2 40.7091 -74.0064
1 -6.1259871 106.8060391
1 -6.1272419 106.789577
